!CSV A.01.01
!Keysight Technologies,N5247A,US56070668,A.10.47.06
!Date: Tuesday, November 12, 2019 09:03:01
!Source: Standard

!CW Freq: 28000000000 Hz
BEGIN CH1_DATA
Time(s),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
0.97516895835897,-19.563225,-82.266304,-35.272648,-36.635235,-31.158625,61.335815,11.16492,70.323685
0.97964221046154,-19.566637,-82.248924,-39.663513,-36.39772,-31.757982,58.864895,5.8005567,69.970642
0.9841154625641,-19.565395,-82.242653,-34.32877,-49.887138,-30.73769,60.56242,12.678882,58.789986
0.98858871466667,-19.566435,-82.257965,-33.972618,-47.222523,-30.778435,59.991596,12.417561,59.262424
0.99306196676923,-19.570509,-82.259674,-35.152531,-37.556747,-31.261759,61.750217,11.178617,71.288467
0.99753521887179,-19.571198,-82.222115,-36.518402,-36.578663,-31.560455,60.816872,9.2771063,72.569305
1.0020084709744,-19.571533,-82.185455,-33.947556,-38.854065,-31.031656,63.381424,13.095557,72.36602
1.0064817230769,-19.567331,-82.158524,-32.844322,-38.482143,-30.774446,65.17836,14.046251,76.850037
1.0109549751795,-19.562109,-82.175713,-34.581009,-34.43507,-31.132904,62.224056,12.429414,73.516167
1.0154282272821,-19.563232,-82.187698,-38.250034,-43.813595,-31.462458,59.472233,8.1151466,63.73175
1.0199014793846,-19.564238,-82.181648,-35.907444,-51.328426,-31.219072,59.759148,11.239358,57.328136
1.0243747314872,-19.562347,-82.166832,-35.172256,-37.737709,-31.214434,61.58147,11.68413,71.649239
1.0288479835897,-19.559254,-82.165741,-34.674141,-46.698254,-31.069305,61.499542,12.657652,67.72596
1.0333212356923,-19.554859,-82.180244,-34.294052,-79.106461,-30.564241,55.083443,13.242753,29.928997
1.0377944877949,-19.551544,-82.203941,-30.603859,-52.68465,-29.79163,63.086689,17.159695,57.800415
1.0422677398974,-19.551743,-82.236649,-35.83205,-39.379345,-31.162598,59.801537,10.785356,67.678917
1.046740992,-19.551842,-82.262619,-35.09174,-46.893936,-30.981989,59.959255,12.026666,62.06905
1.0512142441026,-19.551083,-82.271812,-36.0439,-45.919643,-31.042631,59.331264,10.992279,61.542534
1.0556874962051,-19.549341,-82.284508,-36.419903,-38.231159,-31.293556,61.170738,10.875443,74.397018
1.0601607483077,-19.54624,-82.282135,-36.436584,-38.067165,-31.329182,61.370514,10.622177,73.10453
1.0646340004103,-19.55023,-82.280235,-37.009644,-44.086666,-31.152618,58.864853,10.307896,63.250912
1.0691072525128,-19.554436,-82.236916,-35.250225,-34.291634,-31.118402,62.251663,12.000039,72.836456
1.0735805046154,-19.556076,-82.19738,-37.913307,-30.002604,-31.626415,60.146946,8.3400164,76.977875
